銘柄コード,売り上げ高(2019),売り上げ高(2020),売り上げ高(2021),営業益(2019),営業益(2020),営業益(2021),営業利益率(2019),営業利益率(2020),営業利益率(2021),ROE(2019),ROE(2020),ROE(2021)
3663,"3,789","5,381","6,287",374,241,561,9.87,4.48,8.92,10.10,6.04,-19.86
6058,"29,693","36,821","37,000","2,575","2,891","2,300",8.67,7.85,6.22,-26.45,-2.57,5.01
7157,"12,560","16,850","20,000","-1,719","-2,382","-3,200",-13.69,-14.14,-16.00,-13.79,-22.67,-18.25
3661,"6,919","11,061","12,000",403,729,820,5.82,6.59,6.83,-70.67,10.45,12.02
3173,"25,511","23,318","20,500","1,131",682,10,4.43,2.92,0.05,12.97,6.52,0.65
3660,"32,193","30,564","37,200",476,"-2,325",50,1.48,-7.61,0.13,-4.73,-64.59,-4.06
3172,"9,286","10,577","9,906",340,496,530,3.66,4.69,5.35,5.34,8.82,7.46
3169,"10,186","11,174","10,790",402,816,500,3.95,7.30,4.63,14.12,34.59,16.91
9206,"39,937","40,416",－,"1,264",3,－,3.16,0.01,－,6.16,-5.23,－
4583,212,447,－,"-1,539","-1,401",－,-725.94,-313.42,－,-44.90,-53.48,－
4977,"36,464","34,543","31,500",898,"1,690","1,300",2.46,4.89,4.13,6.34,-4.40,5.07
6055,"35,927","34,234","37,000","7,905","8,102","8,600",22.00,23.67,23.24,26.52,22.40,20.38
6619,"8,731","13,167","16,500","-3,348","-3,286","-1,300",-38.35,-24.96,-7.88,-14.05,-21.30,-37.97
3659,"253,721","248,542","289,730","98,360","94,525","110,030",38.77,38.03,37.98,21.10,19.68,13.77
3277,"16,833","18,020","16,725","1,765","1,860",647,10.49,10.32,3.87,11.90,12.32,2.74
6054,"6,791","6,189",－,122,-5,－,1.80,-0.08,－,8.04,29.02,－
1383,"4,698","4,885","5,490",13,72,90,0.28,1.47,1.64,2.54,-0.26,7.69
3444,"6,037","5,365","4,371",114,-232,-774,1.89,-4.32,-17.71,11.56,-6.58,-15.18
3658,"14,786","21,281","28,000",583,793,950,3.94,3.73,3.39,5.10,15.25,15.42
3657,"23,763","26,120","28,744","3,162","3,531","3,587",13.31,13.52,12.48,16.91,13.27,16.25
7777,328,672,"1,814","-2,267","-2,536","-1,820",-691.16,-377.38,-100.33,-171.93,-521.21,-104.80
3276,"43,112","43,302","46,800","2,855","2,202","2,600",6.62,5.09,5.56,37.88,25.70,27.87
4582,"3,835","2,837","3,043","-2,656","-4,301","-4,592",-69.26,-151.60,-150.90,-77.82,-107.39,-86.33
2117,"48,755","47,809","44,000","3,167","2,858","1,900",6.50,5.98,4.32,4.58,4.38,2.09
4581,"261,551","288,527","289,500","31,211","21,460","20,000",11.93,7.44,6.91,7.01,2.89,1.82
6620,"1,465","1,489","1,500","1,027",973,990,70.10,65.35,66.00,4.08,2.78,3.59
6625,"1,158","1,724","2,761",643,"1,069","1,300",55.53,62.01,47.08,6.52,6.37,12.06
7022,"48,144","49,805","45,000","1,272","-1,775","-4,000",2.64,-3.56,-8.89,9.88,-16.90,-59.02
7817,"80,088","82,379","84,000","10,580","9,906","10,800",13.21,12.02,12.86,6.35,6.54,6.44
3656,"32,673","31,109","35,000","4,995","1,673","2,500",15.29,5.38,7.14,19.04,2.56,5.44
3655,"5,676","6,621","6,950","1,184","1,061",400,20.86,16.02,5.76,39.22,25.54,6.75
3653,"2,417","2,608","2,100",668,586,-150,27.64,22.47,-7.14,9.36,6.05,-8.47
4579,744,"1,702","1,579","-1,075",-15,-260,-144.49,-0.88,-16.47,-25.34,0.12,-8.53
1909,"36,304","39,846","41,000","1,702","2,974","2,000",4.69,7.46,4.88,9.24,12.00,9.29
6626,"15,266","14,890","16,800","1,222","1,089","1,900",8.00,7.31,11.31,11.23,7.28,11.52
2882,"29,164","30,361","26,066",834,810,100,2.86,2.67,0.38,5.61,4.66,－
3275,"11,600","13,015","13,291","1,143","1,017","1,161",9.85,7.81,8.74,15.62,10.83,14.71
3652,"1,086","1,328","1,500",28,82,-150,2.58,6.17,-10.00,1.81,2.35,-2.89
3168,"50,670","42,752","42,280",-244,646,438,-0.48,1.51,1.04,-3.00,5.08,3.47
3608,"165,009","170,068","132,200","2,280",70,"-17,800",1.38,0.04,-13.46,-0.18,2.23,0.07
3167,"191,600","195,952","205,300","13,057","14,224","15,000",6.81,7.26,7.31,12.64,12.96,12.45
6249,"17,375","16,561","12,000","2,423","2,036",400,13.95,12.29,3.33,3.57,3.02,0.00
3649,"3,603","4,281","4,210",592,743,580,16.43,17.36,13.78,14.85,18.53,12.68
4928,"59,252","51,841","52,500","11,992","8,060","9,000",20.24,15.55,17.14,13.82,10.73,12.12
7150,"8,577","8,844","7,920",498,"-1,904",390,5.81,-21.53,4.92,2.02,-14.28,1.75
2229,"248,655","255,938","265,000","26,964","27,664","26,500",10.84,10.81,10.00,13.25,11.06,9.83
3648,"19,666","19,942","19,000",822,714,650,4.18,3.58,3.42,4.65,3.99,－
3646,"3,035","2,864","2,000",480,339,135,15.82,11.84,6.75,10.67,0.82,3.65
3647,"4,857","4,570","3,500",-343,52,220,-7.06,1.14,6.29,13.75,5.61,6.51
3645,"2,236","2,917","3,200",176,106,155,7.87,3.63,4.84,6.41,6.01,－
6627,"21,739","16,908","18,240","1,670",-110,420,7.68,-0.65,2.30,4.54,-1.05,-0.17
4578,"1,291,981","1,396,240","1,420,000","108,304","176,585","203,000",8.38,12.65,14.30,4.72,7.33,8.22
4927,"248,574","219,920","175,000","39,496","31,137","10,000",15.89,14.16,5.71,4.34,10.39,0.72
6050,"6,535","7,845","8,862","1,167","1,339","1,526",17.86,17.07,17.22,26.78,25.29,24.12
7818,"16,451","18,472","17,578","2,046","2,802","2,531",12.44,15.17,14.40,15.95,18.09,17.24
1418,"19,387","19,053","19,000",185,355,400,0.95,1.86,2.11,-1.85,2.79,3.73
1417,"375,911","441,166","445,000","20,699","21,993","23,000",5.51,4.99,5.17,15.41,7.39,7.37
3166,"104,671","104,219","98,000","1,913","2,036","1,200",1.83,1.95,1.22,9.84,9.59,7.25
6628,"43,836","21,808",－,"-1,052","-5,346",－,-2.40,-24.51,－,1.51,－,－
9413,"149,229","145,173","135,460","5,947","5,128","3,240",3.99,3.53,2.39,3.93,3.13,2.19
7148,"26,595","12,708","13,865","14,432","1,879","4,545",54.27,14.79,32.78,32.29,3.79,10.29
2198,"20,009","20,189",－,"2,067","1,931",－,10.33,9.56,－,12.15,10.96,－
3271,"35,864","25,702",－,"2,307","-2,025",－,6.43,-7.88,－,6.71,-69.85,－
3640,"14,088","14,869","15,720",-380,300,343,-2.70,2.02,2.18,-13.10,3.50,3.45
3641,"19,162","23,347","26,171","1,970","1,532","2,049",10.28,6.56,7.83,22.49,13.66,16.74
3639,"7,119","6,587",－,-198,-86,－,-2.78,-1.31,－,-16.25,-7.47,－
3161,"9,520","9,941","9,711",284,466,200,2.98,4.69,2.06,4.04,5.75,3.16
5020,"11,129,630","10,011,774","7,500,000","537,083","-113,061","200,000",4.83,-1.13,2.67,12.26,-7.47,3.95
6629,"19,615","22,357","22,500","1,141","1,443","1,500",5.82,6.45,6.67,10.82,19.28,17.96
8600,"73,286","71,033",－,"16,213","11,378","12,350",22.12,16.02,－,4.63,3.70,3.56
8630,"3,643,040","3,760,366",－,"198,959","192,451","223,000",5.46,5.12,－,8.04,7.30,8.19
8750,"7,184,093","7,114,099","6,487,000","432,945","218,380","358,000",6.03,3.07,5.52,6.03,0.87,4.23
4577,"41,134","44,991","47,500","4,547","5,357","4,950",11.05,11.91,10.42,11.91,11.70,8.72
8283,"1,015,253","1,046,412","1,047,000","25,399","24,708","25,000",2.50,2.36,2.39,10.39,12.23,8.32
7776,"1,026",275,200,140,-780,-742,13.65,-283.64,-371.00,9.81,-57.61,-59.26
3160,"62,911","60,659","56,000",649,400,100,1.03,0.66,0.18,9.05,4.61,-9.29
2196,"33,302","31,430",－,"2,191","1,546",－,6.58,4.92,－,15.64,6.15,－
8715,"35,829","41,465","45,600","2,278","2,189","2,900",6.36,5.28,6.36,9.07,6.74,8.37
3269,"17,175","17,357","16,702","8,964","8,294","8,152",52.19,47.78,48.81,－,－,－
3159,"177,174","176,258","168,000","3,235","3,454","2,600",1.83,1.96,1.55,6.91,5.56,2.62
2195,"4,704","4,744","4,526",136,236,160,2.89,4.97,3.54,9.98,46.89,36.26
6630,"27,252","22,975","35,000","5,705","2,504","5,800",20.93,10.90,16.57,28.37,10.00,24.05
4576,292,580,310,-786,117,-390,-269.18,20.17,-125.81,-45.92,10.03,-14.87
2270,"603,378","613,405","620,000","17,230","17,998","19,000",2.86,2.93,3.06,6.69,7.13,7.16
3156,"205,771","379,548","350,000","4,508","6,637","6,000",2.19,1.75,1.71,5.64,10.52,11.19
3157,"159,814","162,398",－,"1,262","1,541",－,0.79,0.95,－,8.97,8.96,－
8713,"48,883","50,864",－,"5,081","2,872","4,700",10.39,5.65,－,3.22,1.17,1.77
8714,"97,303","88,221","80,000","9,698","4,946","6,000",9.97,5.61,7.50,2.56,1.70,1.70
4575,115,110,－,-533,-566,－,-463.48,-514.55,－,-99.02,-157.58,－
3636,"90,029","92,020","97,000","5,130","6,231","6,600",5.70,6.77,6.80,7.63,13.94,8.91
4926,"12,541","11,101","8,716",251,-318,"-1,608",2.00,-2.86,-18.45,1.49,-12.12,-18.86
7819,"16,785","13,939","14,400",262,111,200,1.56,0.80,1.39,3.33,1.17,1.38
2193,"11,876","11,753",－,"1,664",306,－,14.01,2.60,－,1.70,-4.05,－
3154,"197,691","210,388","228,260",875,"1,100",700,0.44,0.52,0.31,-0.60,7.16,5.63
3153,"69,828","70,190","63,000","2,347","2,509","2,350",3.36,3.57,3.73,9.65,6.93,8.21
3266,"1,161","1,588","3,110",-18,119,220,-1.55,7.49,7.07,-2.04,3.45,7.04
3634,"1,443","1,227","1,250",73,21,10,5.06,1.71,0.80,6.86,1.67,0.62
2269,"1,254,380","1,252,706","1,253,000","98,383","102,708","110,000",7.84,8.20,8.78,12.20,12.35,11.90
3151,"559,712","562,505",－,"2,821","3,556",－,0.50,0.63,－,5.25,4.83,－
3635,"38,968","42,645","51,000","12,092","14,102","17,000",31.03,33.07,33.33,11.67,12.71,13.13
5857,"128,669","135,563","165,000","14,478","20,119","21,000",11.25,14.84,12.73,13.61,14.38,19.16
2191,516,202,－,-685,-716,－,-132.75,-354.46,－,-95.18,-161.19,－
4574,"10,418","14,966","18,000","2,029","3,824","5,500",19.48,25.55,30.56,8.37,13.33,－
7314,"3,341","6,218","5,078","-1,031",252,208,-30.86,4.05,4.10,-27.00,5.24,4.14
3150,"12,137","15,489","16,853","1,400","2,106","2,300",11.53,13.60,13.65,27.39,33.08,25.42
7775,"8,406","8,523","8,400","1,249","1,194","1,160",14.86,14.01,13.81,13.66,14.50,14.06
3148,"286,299","319,588","333,700","14,241","17,793","16,520",4.97,5.57,4.95,13.29,14.97,12.65
3443,"118,369","127,048","115,000","6,065","6,759","3,500",5.12,5.32,3.04,11.81,11.28,4.16
3633,"8,200","8,943","10,800",467,783,920,5.70,8.76,8.52,33.26,32.19,37.25
3632,"70,936","62,665",－,"5,476","3,162",－,7.72,5.05,－,3.13,2.43,－
9385,"17,807","19,115","20,861",532,628,869,2.99,3.29,4.17,12.60,15.31,17.88
2186,"8,190","8,344","7,700",621,633,200,7.58,7.59,2.60,13.36,13.81,7.69
6465,"292,774","290,136","235,000","36,446","32,664","16,500",12.45,11.26,7.02,12.04,10.56,4.62
4952,"11,584","12,387","12,500",984,"1,074","1,000",8.49,8.67,8.00,6.73,19.02,15.62
2185,"19,251","17,071","20,189","2,246","1,818","2,276",11.67,10.65,11.27,9.69,9.20,10.37
6250,"118,049","120,922","129,000","6,290","6,203","8,700",5.33,5.13,6.74,7.95,7.58,9.32
3143,"31,375","32,685","30,000",595,674,600,1.90,2.06,2.00,16.73,16.81,12.68
5724,"9,737","7,412","7,052",157,85,115,1.61,1.15,1.63,2.69,3.91,1.71
9384,"23,254","22,830","21,300","1,616","1,528","1,210",6.95,6.69,5.68,14.70,12.95,9.90
3630,"36,576","40,202","46,200","1,668","2,268","2,500",4.56,5.64,5.41,10.99,15.46,10.48
2183,"11,313","10,935",－,"1,212","1,005",－,10.71,9.19,－,10.87,9.10,－
1514,"19,733","15,390","10,000",164,21,150,0.83,0.14,1.50,19.09,6.98,0.47
2181,"925,818","970,572","940,000","44,111","39,085","25,000",4.76,4.03,2.66,16.18,5.02,9.67
5614,"39,399","39,435","33,000","2,748","2,145","1,300",6.97,5.44,3.94,1.53,5.09,4.51
6632,"307,627","291,304","260,000","7,263","4,080","2,000",2.36,1.40,0.77,6.83,1.61,-2.64
3628,"2,256","2,782","3,470",36,262,300,1.60,9.42,8.65,1.86,16.74,19.13
2180,"14,627","14,094","13,250",610,420,400,4.17,2.98,3.02,24.18,-9.69,3.77
3141,"779,148","868,280","954,100","29,045","37,801","43,300",3.73,4.35,4.54,12.79,14.97,14.38
2179,"11,890","12,220","11,360",384,272,-295,3.23,2.23,-2.60,15.83,1.24,-14.89
2178,"53,843","50,440","49,549",809,628,"1,255",1.50,1.25,2.53,-12.79,2.69,10.10
3264,"21,020","15,558",－,"1,000","1,437",－,4.76,9.24,－,3.41,6.48,－
3140,"15,155","15,268","15,700",629,746,500,4.15,4.89,3.18,4.10,4.47,2.39
2176,"2,585","2,862","3,250",93,61,76,3.60,2.13,2.34,7.62,4.62,4.36
3627,"8,902","10,815","9,750",504,875,550,5.66,8.09,5.64,16.14,13.75,－
3098,"400,559","403,875","381,600","12,915","13,336","14,200",3.22,3.30,3.72,10.01,7.05,4.59
3099,"1,196,803","1,119,191","815,000","29,229","15,679","-33,000",2.44,1.40,-4.05,2.34,-2.00,-8.95
3626,"420,769","443,717","445,000","38,043","44,839","44,500",9.04,10.11,10.00,11.54,12.46,11.80
8725,"5,500,438","5,168,361",－,"290,847","157,701","200,000",5.29,3.05,－,6.77,5.50,5.12
3260,"1,461","1,397","1,400",154,132,82,10.54,9.45,5.86,2.65,-10.10,1.54
3625,"6,593","6,311","6,800",720,219,450,10.92,3.47,6.62,-0.41,-14.53,7.83
3097,"58,924","57,960","69,106","3,933","3,033","3,960",6.67,5.23,5.73,17.92,2.61,12.65
4572,754,"3,207","1,036","-1,144",977,"-1,779",-151.72,30.46,-171.72,-107.94,35.07,-42.51
3096,"57,355","61,999","66,400","1,006","1,278","1,430",1.75,2.06,2.15,7.25,11.56,10.24
3623,"2,638","2,290","2,967",346,107,158,13.12,4.67,5.33,9.23,-1.27,5.11
3624,"2,895","2,784","2,525",-697,-652,10,-24.08,-23.42,0.40,-196.72,－,－
2175,"30,836","35,140","37,436","4,743","4,935","5,028",15.38,14.04,13.43,24.36,27.53,22.87
3622,"5,513","5,465","5,400",21,-77,50,0.38,-1.41,0.93,-4.19,-3.61,2.63
4571,496,552,338,"-1,802","-1,105","-1,495",-363.31,-200.18,-442.31,-35.25,-27.78,-36.53
2174,"26,690","23,719","18,000","3,479","3,383",820,13.03,14.26,4.56,12.39,10.79,0.57
2173,"12,873","12,921","9,000",523,645,-400,4.06,4.99,-4.44,7.44,36.49,-26.74
8410,"147,288","148,553","134,200","40,714","39,836","32,800",27.64,26.82,24.44,6.24,12.06,10.10
2172,"2,198","2,327","2,438",59,16,30,2.68,0.69,1.23,9.38,2.61,3.18
3094,"75,875","76,643","80,000",-592,-927,945,-0.78,-1.21,1.18,-20.93,-59.89,19.74
4976,"5,549","5,644","5,649",361,204,174,6.51,3.61,3.08,7.22,3.61,3.13
7820,"24,716","31,028","32,000","3,553","4,748","4,760",14.38,15.30,14.88,13.32,16.68,15.66
1414,"60,824","67,590","71,700","11,727","12,930","13,400",19.28,19.13,18.69,10.62,11.14,11.14
3442,"5,720","5,576","4,700",270,241,100,4.72,4.32,2.13,19.58,13.47,5.08
3093,"17,737","19,123","18,308",905,939,111,5.10,4.91,0.61,13.74,11.58,0.12
7774,"2,357","2,309",－,-349,-235,－,-14.81,-10.18,－,-4.12,-3.69,－
3254,"160,580","224,011","234,496","27,118","32,609","26,728",16.89,14.56,11.40,22.05,21.05,14.32
6164,"9,723","10,894","7,250","1,669","1,782",585,17.17,16.36,8.07,23.72,21.11,6.28
2169,"9,155","10,665","8,445","1,297","1,559",912,14.17,14.62,10.80,16.02,16.71,11.41
2170,"39,941","38,191","35,000","3,825","2,007","-1,950",9.58,5.26,-5.57,27.04,14.74,-46.05
3092,"118,405","125,517","143,700","25,654","27,888","39,500",21.67,22.22,27.49,50.46,65.89,63.91
2168,"326,984","324,984","310,000","9,465","10,577","10,000",2.89,3.25,3.23,7.60,1.97,7.09
1413,"110,259","117,687","124,000","4,403","6,269","6,800",3.99,5.33,5.48,13.62,12.95,18.47
3858,"2,406","2,346","2,362",77,35,12,3.20,1.49,0.51,2.38,2.78,-1.77
3252,"39,834","74,187","29,800","4,446","5,244","2,280",11.16,7.07,7.65,12.82,13.98,－
3091,"22,432","22,324","17,000","2,597","2,395",100,11.58,10.73,0.59,11.17,8.92,-2.62
2164,"3,992","3,258",－,22,-292,－,0.55,-8.96,－,4.92,-115.68,－
2163,"6,331","7,002","7,832",785,886,975,12.40,12.65,12.45,25.14,24.22,22.96
2162,"57,759","62,611","56,500",548,920,600,0.95,1.47,1.06,7.21,4.84,-6.21
3441,"7,101","7,947","6,600",-344,179,140,-4.84,2.25,2.12,-13.50,3.98,8.67
3249,"11,049","10,984","13,897","6,519","6,247","7,546",59.00,56.87,54.30,－,－,－
3248,"4,197","3,498","3,589",618,563,500,14.72,16.09,13.93,12.74,10.37,8.17
3089,"3,584","3,422",－,263,262,－,7.34,7.66,－,14.18,15.88,－
6254,"25,131","21,049","30,500","1,213","1,846","3,100",4.83,8.77,10.16,11.25,12.82,18.67
3087,"129,216","131,193","99,832","10,143","10,289","-4,592",7.85,7.84,-4.60,5.97,5.84,-8.04
3088,"575,991","590,593","570,000","36,028","37,563","35,000",6.25,6.36,6.14,12.09,11.94,9.93
3857,"38,719","40,466","44,000","2,366","1,767","1,510",6.11,4.37,3.43,14.47,9.38,8.57
3856,"5,984","6,678","20,000",608,361,700,10.16,5.41,3.50,16.92,10.39,13.91
4243,"4,320","3,580","3,700",260,0,50,6.02,0.00,1.35,6.26,-0.74,2.27
3086,"459,840","480,621","337,500","40,891","40,286","-20,600",8.89,8.38,-6.10,6.77,5.31,-5.08
2160,"5,018","7,446","9,672",568,"1,302","1,516",11.32,17.49,15.67,-1.93,1.84,4.98
3085,"30,605","33,327","38,000","4,116","4,486","4,080",13.45,13.46,10.74,14.77,13.44,8.66
6409,"61,238","58,722","50,000","6,413","5,474","3,600",10.47,9.32,7.20,16.79,12.18,6.40
3440,"13,473","8,389","8,800","1,954",741,780,14.50,8.83,8.86,15.43,5.79,5.65
3083,"3,811","3,626","2,640",20,-73,-245,0.52,-2.01,-9.28,-2.32,-12.11,-29.03
7821,"37,853","39,365","43,000","5,344","4,517","5,100",14.12,11.47,11.86,13.35,9.57,11.05
4369,"7,792","8,267","9,150","2,153","2,326","2,370",27.63,28.14,25.90,37.43,35.40,27.26
2159,"20,566","21,158","20,200","1,247","1,074",700,6.06,5.08,3.47,16.97,17.15,10.08
3245,"19,866","27,649",－,"3,333","2,603",－,16.78,9.41,－,18.60,13.78,14.51
3246,"12,150","9,055","9,300","1,548",624,670,12.74,6.89,7.20,15.15,5.98,6.71
3244,"84,274","85,552","100,000","14,033","15,395","16,700",16.65,17.99,16.70,16.89,14.70,14.53
3439,"14,567","12,468","11,142",585,16,27,4.02,0.13,0.24,5.69,-2.23,0.90
3082,"9,914","8,048",－,406,-368,－,4.10,-4.57,－,8.57,-38.57,－
6633,"4,066","4,197",－,230,309,－,5.66,7.36,－,4.52,6.91,－
3854,"10,522","12,679","12,350",951,"1,700","1,200",9.04,13.41,9.72,23.67,36.23,21.12
6255,"6,878","7,938","5,849",686,879,327,9.97,11.07,5.59,11.14,11.13,3.93
2157,"65,840","43,303","35,568","9,507","1,147","1,791",14.44,2.65,5.04,21.67,-0.84,3.89
2158,"11,262","10,470","11,000",244,-844,200,2.17,-8.06,1.82,1.24,-25.15,0.33
3853,"3,478","2,677",－,389,-262,－,11.18,-9.79,－,4.92,-3.48,－
6634,"11,125","9,670",－,419,-633,－,3.77,-6.55,－,-13.35,-53.99,－
2156,"8,791","8,217",－,149,74,－,1.69,0.90,－,4.68,1.01,－
8732,"6,230","5,872",－,"1,171",622,－,18.80,10.59,－,5.83,1.84,－
3852,"12,072","13,967","15,000",608,746,800,5.04,5.34,5.33,9.34,11.52,10.04
3851,"4,523","3,331",－,426,460,－,9.42,13.81,－,9.46,7.98,－
4242,"53,469","47,030","34,740","2,268","2,456",470,4.24,5.22,1.35,14.05,14.63,-4.17
3850,"6,490","6,915","6,920",686,720,600,10.57,10.41,8.67,12.83,13.10,10.79
2154,"81,596","81,755","77,800","5,719","4,666","4,800",7.01,5.71,6.17,25.54,8.93,19.20
2153,"26,172","30,394","33,000","1,711","2,984","3,000",6.54,9.82,9.09,7.44,10.55,10.21
2151,"32,271","37,713","41,000","2,125","3,298","3,700",6.58,8.74,9.02,1.04,6.61,6.04
2152,"6,801","6,729","5,300","1,255","1,122",300,18.45,16.67,5.66,11.87,11.40,5.81
3849,757,840,－,100,158,－,13.21,18.81,－,4.05,8.39,－
3080,"23,375","24,368","25,500",664,746,"1,000",2.84,3.06,3.92,12.08,12.40,13.63
3079,"40,380","44,653","41,886","1,237","1,115",515,3.06,2.50,1.23,13.13,10.54,4.55
3848,"2,314","2,148","1,935",664,365,12,28.69,16.99,0.62,15.86,7.69,0.46
2150,"2,902","3,268","5,000",469,605,"1,300",16.16,18.51,26.00,12.68,20.39,20.70
2148,"4,703","5,278","6,380",881,"1,172","1,730",18.73,22.21,27.12,7.17,13.82,16.44
3077,"6,660","6,148",－,304,143,－,4.56,2.33,－,10.66,-26.49,－
3847,"10,423","10,813","10,100",773,815,470,7.42,7.54,4.65,11.24,10.73,4.79
2146,"101,103","101,191","108,800","8,083","8,040","6,000",7.99,7.95,5.51,45.51,32.46,21.48
3076,"51,031","43,179","45,000","8,410","7,596","8,000",16.48,17.59,17.78,11.89,9.59,11.24
3708,"81,901","80,603","76,000","3,142","2,870","1,800",3.84,3.56,2.37,6.22,5.28,9.74
8354,"246,112","283,186",－,"74,093","-5,250","61,000",30.11,-1.85,－,6.64,13.57,4.89
9412,"164,014","139,541","139,000","15,290","15,263","16,000",9.32,10.94,11.51,4.42,5.35,4.71
3242,"20,084","22,018","20,000","2,148","2,484","2,050",10.70,11.28,10.25,16.58,15.33,9.91
6635,"25,788","27,724","25,750",100,221,135,0.39,0.80,0.52,-26.54,13.59,3.54
3843,"50,365","55,295","54,000","2,981","2,587","1,900",5.92,4.68,3.52,3.12,-7.25,-2.41
3844,"18,070","20,932","21,000","2,570","2,833","3,045",14.22,13.53,14.50,26.02,19.53,17.72
3845,"1,187","1,666","3,881",-355,-235,12,-29.91,-14.11,0.31,-122.62,-56.84,1.84
6637,"35,311","36,700","34,220","1,342","2,411","1,700",3.80,6.57,4.97,4.39,6.62,4.38
3841,"1,884","1,893","2,050",116,130,170,6.16,6.87,8.29,3.16,3.28,3.90
6638,"55,448","55,557","46,500","3,008","1,353","-1,850",5.42,2.44,-3.98,9.23,-4.48,-10.17
9381,"27,783","45,003","45,500","1,543","1,575","1,765",5.55,3.50,3.88,20.28,15.35,12.45
3842,"3,190","3,878","4,150",47,-574,130,1.47,-14.80,3.13,1.85,-30.03,4.85
6639,"27,887","25,735","26,000","1,821","1,564","1,400",6.53,6.08,5.38,16.14,14.49,8.46
3840,"3,678","2,483",－,5,-546,－,0.14,-21.99,－,9.61,-68.64,－
3040,"15,266","15,552","16,000","1,367","1,081","1,500",8.95,6.95,9.38,5.38,10.54,16.30
3839,"5,337","5,151","5,500",571,523,470,10.70,10.15,8.55,6.22,6.86,6.24
8771,"5,573","5,956","7,700","2,512","2,718","2,980",45.07,45.63,38.70,18.20,21.54,13.42
3075,"19,316","18,076","17,807",937,71,306,4.85,0.39,1.72,7.85,-1.41,2.25
3073,"50,973","57,369","25,800","2,115","2,846","-8,500",4.15,4.96,-32.95,19.05,22.56,-614.93
4570,781,576,549,-173,-595,-308,-22.15,-103.30,-56.10,-8.04,-32.69,-25.07
7822,"58,246","57,119",－,"-1,609",-750,－,-2.76,-1.31,－,-7.31,-2.16,－
7313,"412,072","359,682","354,500","38,793","26,326","29,000",9.41,7.32,8.18,10.48,5.90,5.71
2796,"51,728","51,030","54,041",640,"1,034","1,167",1.24,2.03,2.16,0.43,10.50,6.83
3071,"22,626","23,409","24,430",17,162,116,0.08,0.69,0.47,-6.99,4.19,1.17
2139,"7,133","6,936",－,67,-54,－,0.94,-0.78,－,12.66,-0.89,－
3837,"12,194","13,315","13,500","1,012","1,213","1,220",8.30,9.11,9.04,18.85,19.77,16.62
2138,"30,282","33,995",－,"-1,002",-97,－,-3.31,-0.29,－,-16.18,-7.00,－
3240,-,-,-,-,-,-,-,-,-,-,-,-
3241,"6,054","6,260","6,673",507,658,710,8.37,10.51,10.64,13.10,15.96,14.40
7823,"37,985","39,484","36,171","3,227","2,919",773,8.50,7.39,2.14,7.67,6.19,0.48
8772,"6,002","5,822","5,693","4,266","4,048","3,846",71.08,69.53,67.56,8.12,7.23,6.57
6257,"27,971","25,172","24,600","1,337","-2,054","-1,000",4.78,-8.16,-4.07,1.71,-11.01,-5.50
3836,"14,077","15,691","16,110","1,966","2,278","2,330",13.97,14.52,14.46,24.64,23.48,21.70
3070,"5,281","4,803",－,-156,-266,－,-2.95,-5.54,－,-75.93,-48.20,－
2137,"3,387","3,163","3,200",365,143,165,10.78,4.52,5.16,6.42,2.80,3.06
3069,"64,335","80,871","73,000",270,515,-350,0.42,0.64,-0.48,-31.17,15.35,-11.62
3834,"9,739","10,265","10,800","1,269","1,606","1,800",13.03,15.65,16.67,9.62,11.60,11.67
3835,"4,043","4,441","4,150","1,099","1,291","1,070",27.18,29.07,25.78,20.72,20.54,15.71
6264,"4,019","4,388","4,700",495,896,780,12.32,20.42,16.60,8.35,12.53,9.43
3066,"7,272","7,436","6,208",120,51,-118,1.65,0.69,-1.90,3.86,-8.02,-73.59
3068,"29,783","29,876","16,500","1,687",406,"-1,400",5.66,1.36,-8.48,15.98,-27.54,396.04
3238,"29,679","24,110","26,000","1,321","1,679","1,100",4.45,6.96,4.23,13.58,15.80,8.31
3067,"4,619","3,975","6,672",177,-521,109,3.83,-13.11,1.63,5.47,-40.20,7.30
2136,"5,354","5,437","4,923",504,560,178,9.41,10.30,3.62,14.17,14.26,10.40
4344,"14,710","17,282","16,000",859,474,600,5.84,2.74,3.75,6.74,1.88,3.45
5440,"242,257","239,343","220,000","9,200","19,404","13,000",3.80,8.11,5.91,4.59,7.80,5.51
3237,"2,752","1,174","3,500",375,-931,400,13.63,-79.30,11.43,1.84,-40.46,8.35
3830,"10,921","13,649","15,443","1,292","1,235","1,575",11.83,9.05,10.20,35.89,20.83,29.74
3065,"13,176","13,227",－,163,89,－,1.24,0.67,－,1.73,0.17,－
6258,"77,302","65,612","67,000","6,249","2,736","2,500",8.08,4.17,3.73,10.06,3.77,3.12
3236,"18,002","23,674","18,425","1,378","1,535","1,555",7.65,6.48,8.44,22.99,22.81,11.42
8769,"4,897","5,263","5,600",928,952,640,18.95,18.09,11.43,22.59,20.87,13.05
4665,"158,699","159,102","149,700","7,954","6,577","1,100",5.01,4.13,0.73,4.03,3.84,0.42
2134,"1,069",507,－,58,-573,－,5.43,-113.02,－,-21.75,-111.16,－
3064,"109,553","131,463","156,468","13,790","15,839","18,569",12.59,12.05,11.87,36.15,32.98,30.11
3826,"4,066","4,554","4,400",544,661,500,13.38,14.51,11.36,32.10,21.33,15.41
