銘柄コード,売り上げ高(2019),売り上げ高(2020),売り上げ高(2021),営業益(2019),営業益(2020),営業益(2021),営業利益率(2019),営業利益率(2020),営業利益率(2021),ROE(2019),ROE(2020),ROE(2021)
7800,"4,966","4,785","5,000",329,262,240,6.63,5.48,4.80,9.56,8.25,6.96
4447,"1,778","2,281","2,520",154,222,276,8.66,9.73,10.95,67.34,30.01,32.83
7679,"91,810","102,017","110,300","3,886","3,914","3,915",4.23,3.84,3.55,16.19,15.00,13.21
4599,100,"2,100","2,300",-726,415,138,-726.00,19.76,6.00,-32.28,5.19,1.25
2978,"1,515","1,718","1,472",19,-150,-563,1.25,-8.73,-38.25,1.04,-33.86,-54.71
7803,"32,175","33,000",－,"3,058","2,710",－,9.50,8.21,－,20.45,12.65,－
7804,"3,067","3,011","2,500",641,426,190,20.90,14.15,7.60,－,－,5.07
4446,"1,085","1,338","1,950",398,433,501,36.68,32.36,25.69,26.85,17.08,15.25
7068,700,"1,526","2,376",45,415,644,6.43,27.20,27.10,56.95,30.93,35.59
4445,"1,872","2,444","2,810",265,34,55,14.16,1.39,1.96,30.74,0.62,4.46
4931,"33,570","33,728","35,000","2,864","3,329","3,500",8.53,9.87,10.00,21.59,15.74,16.20
7678,"9,447","8,849","7,071",635,224,-406,6.72,2.53,-5.74,13.39,1.95,-21.46
7677,"37,014","36,082","38,207",640,350,412,1.73,0.97,1.08,5.78,2.91,3.44
4444,844,766,"1,013",164,11,132,19.43,1.44,13.03,30.53,0.00,10.11
7067,"4,992","5,161","4,375",147,63,-110,2.94,1.22,-2.51,11.56,4.25,-1.47
7066,"2,772","3,484","4,830",507,331,345,18.29,9.50,7.14,23.31,11.89,11.39
2976,"5,024","4,517","4,207",339,328,51,6.75,7.26,1.21,18.39,17.19,7.00
4443,"10,206","13,362","16,034",-849,757,884,-8.32,5.67,5.51,-40.44,4.88,－
7065,"11,671","12,732","13,559",756,"1,134",884,6.48,8.91,6.52,11.53,15.67,10.78
2974,"30,220","28,879","35,011","1,979","1,168","1,407",6.55,4.04,4.02,25.00,10.23,11.75
2975,"30,281","32,164","35,259","3,838","3,627","3,387",12.67,11.28,9.61,13.24,11.37,9.49
