順位,銘柄コード,証券,企業名,取引月日,取引値,上場年月日,決算年月,時価総額
64,7087,東証2部,(株)ウイルテック,15:00,796,2020/03/06,2020/03,"4,992"
65,7084,マザーズ,(株)Ｋｉｄｓ　Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,15:00,"1,772",2020/03/04,2020/03,"5,621"
66,7085,東証1部,(株)カーブスホールディングス,15:00,723,2020/03/02,2020/08,"67,859"
67,7083,マザーズ,ＡＨＣグループ(株),14:45,"1,535",2020/02/25,2019/11,"3,208"
68,7081,東証JQS,コーユーレンティア(株),15:00,"1,510",2020/02/07,2019/12,"8,154"
69,7082,マザーズ,(株)ジモティー,15:00,"2,726",2020/02/07,2019/12,"16,346"
70,7080,マザーズ,(株)スポーツフィールド,14:57,"2,180",2019/12/26,2019/12,"1,924"
71,4488,マザーズ,ＡＩ　ｉｎｓｉｄｅ(株),15:00,"70,200",2019/12/25,2020/03,"266,862"
72,7079,マザーズ,ＷＤＢココ(株),15:00,"4,150",2019/12/25,2020/03,"9,483"
73,6557,マザーズ,(株)ｇｌｏｂａｌ　ｂｒｉｄｇｅ　ＨＯＬＤＩＮＧＳ,14:59,"1,130",2019/12/23,2019/12,"3,007"
74,7686,東証2部,(株)カクヤスグループ,15:00,"1,547",2019/12/23,2020/03,"11,988"
75,4487,マザーズ,(株)スペースマーケット,15:00,900,2019/12/20,2019/12,"10,515"
76,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),14:50,"1,112",2019/12/20,2020/03,"2,691"
77,2980,マザーズ,ＳＲＥホールディングス(株),15:00,"3,200",2019/12/19,2020/03,"48,744"
78,2981,マザーズ,(株)ランディックス,14:56,"1,614",2019/12/19,2020/03,"4,535"
79,4485,マザーズ,(株)ＪＴＯＷＥＲ,15:00,"8,820",2019/12/18,2020/03,"181,689"
80,4486,マザーズ,ユナイトアンドグロウ(株),15:00,"1,534",2019/12/18,2019/12,"5,588"
81,7685,マザーズ,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,15:00,"4,765",2019/12/18,2019/12,"33,267"
